Work Material,VC,CF,PI,Performance,Rank
W4,1.0,1.0,0.18604651162790697,0.8836860465116279,1.0
W3,0.9476744186046512,0.5340909090909091,0.13559322033898305,0.7725269318629735,2.0
W2,0.5232558139534884,0.5662650602409639,0.21052631578947367,0.4847127899603309,3.0
W1,0.4127906976744186,0.5875,0.2857142857142857,0.4195974377076412,4.0
W5,0.06976744186046512,0.20434782608695654,1.0,0.22192921132457027,5.0
W6,0.09302325581395349,0.13428571428571429,0.42105263157894735,0.14579505892638572,6.0
